ds,y
2020-07-26,60
2020-07-27,82
2020-07-28,90
2020-07-29,74
2020-07-30,106
2020-07-31,268
2020-08-01,116
2020-08-02,73
2020-08-03,41
2020-08-04,54
2020-08-05,132
2020-08-06,45
2020-08-07,49
2020-08-08,44
2020-08-09,64
2020-08-10,71
2020-08-11,88
2020-08-12,56
2020-08-13,44
2020-08-14,39
2020-08-15,43
2020-08-16,66
2020-08-17,42
2020-08-18,43
2020-08-19,40
2020-08-20,18
2020-08-21,43
2020-08-22,44
2020-08-23,31
2020-08-24,39
2020-08-25,39
2020-08-26,28
2020-08-27,36
2020-08-28,26
2020-08-29,23
2020-08-30,29
2020-08-31,30
2020-09-01,31
2020-09-02,31
2020-09-03,30
2020-09-04,29
2020-09-05,31
2020-09-06,31
2020-09-07,34
2020-09-08,42
2020-09-09,41
2020-09-10,23
2020-09-11,32
2020-09-12,34
2020-09-13,46
2020-09-14,53
2020-09-15,35
2020-09-16,55
2020-09-17,31
2020-09-18,43
2020-09-19,42
2020-09-20,20
2020-09-21,45
2020-09-22,35
2020-09-23,32
2020-09-24,34
2020-09-25,48
2020-09-26,26
2020-09-27,46
2020-09-28,19
2020-09-29,40
2020-09-30,48
2020-10-01,34
2020-10-02,72
2020-10-03,42
2020-10-04,71
2020-10-05,323
2020-10-06,36
2020-10-07,61
2020-10-08,23
2020-10-09,29
2020-10-10,26
2020-10-11,29
2020-10-12,28
2020-10-13,41
2020-10-14,16
2020-10-15,27
2020-10-16,24
2020-10-17,23
2020-10-18,43
2020-10-19,28
2020-10-20,12
2020-10-21,24
2020-10-22,22
2020-10-23,27
2020-10-24,28
2020-10-25,13
2020-10-26,28
2020-10-27,90
2020-10-28,31
2020-10-29,24
2020-10-30,44
2020-10-31,27
2020-11-01,31
2020-11-02,31
2020-11-03,23
2020-11-04,27
2020-11-05,32
2020-11-06,32
2020-11-07,24
2020-11-08,33
2020-11-09,63
2020-11-10,54
2020-11-11,40
2020-11-12,72
2020-11-13,79
2020-11-14,107
2020-11-15,64
2020-11-16,87
2020-11-17,48
2020-11-18,67
2020-11-19,63
2020-11-20,141
2020-11-21,76
2020-11-22,104
2020-11-23,206
2020-11-24,117
2020-11-25,198
2020-11-26,138
2020-11-27,93
2020-11-28,41
2020-11-29,48
2020-11-30,63
2020-12-01,57
2020-12-02,64
2020-12-03,67
2020-12-04,112
2020-12-05,60
2020-12-06,60
2020-12-07,54
2020-12-08,55
2020-12-09,44
2020-12-10,118
2020-12-11,84
2020-12-12,47
2020-12-13,154
2020-12-14,55
2020-12-15,36
2020-12-16,28
2020-12-17,74
2020-12-18,29
2020-12-19,37
2020-12-20,40
2020-12-21,60
2020-12-22,36
2020-12-23,26
2020-12-24,42
2020-12-25,51
2020-12-26,43
2020-12-27,25
2020-12-28,22
2020-12-29,46
2020-12-30,45
2020-12-31,59
2021-01-01,34
2021-01-02,28
2021-01-03,30
2021-01-04,39
2021-01-05,24
2021-01-06,28
2021-01-07,13
2021-01-08,19
2021-01-09,13
2021-01-10,17
2021-01-11,23
2021-01-12,33
2021-01-13,18
2021-01-14,48
2021-01-15,40
2021-01-16,18
2021-01-17,26
2021-01-18,23
2021-01-19,20
2021-01-20,17
2021-01-21,23
2021-01-22,15
2021-01-23,13
2021-01-24,26
2021-01-25,43
2021-01-26,8
2021-01-27,21
2021-01-28,22
2021-01-29,13
2021-01-30,23
2021-01-31,15
2021-02-01,43
2021-02-02,30
2021-02-03,32
2021-02-04,18
2021-02-05,18
2021-02-06,23
2021-02-07,11
2021-02-08,13
2021-02-09,11
2021-02-10,23
2021-02-11,20
2021-02-12,16
2021-02-13,15
2021-02-14,32
2021-02-15,22
2021-02-16,20
2021-02-17,13
2021-02-18,17
2021-02-19,16
2021-02-20,10
2021-02-21,10
2021-02-22,15
2021-02-23,9
2021-02-24,15
2021-02-25,20
2021-02-26,19
2021-02-27,8
2021-02-28,11
2021-03-01,30
2021-03-02,23
2021-03-03,21
2021-03-04,63
2021-03-05,27
2021-03-06,18
2021-03-07,21
2021-03-08,20
2021-03-09,21
2021-03-10,45
2021-03-11,38
2021-03-12,45
2021-03-13,31
2021-03-14,56
2021-03-15,49
2021-03-16,47
2021-03-17,48
2021-03-18,55
2021-03-19,111
2021-03-20,556
2021-03-21,230
2021-03-22,66
2021-03-23,47
2021-03-24,76
2021-03-25,47
2021-03-26,40
2021-03-27,57
2021-03-28,90
2021-03-29,173
2021-03-30,109
2021-03-31,47
2021-04-01,46
2021-04-02,51
2021-04-03,62
2021-04-04,61
2021-04-05,75
2021-04-06,52
2021-04-07,76
2021-04-08,249
2021-04-09,31
2021-04-10,26
2021-04-11,36
2021-04-12,31
2021-04-13,334
2021-04-14,123
2021-04-15,35
2021-04-16,27
2021-04-17,30
2021-04-18,39
2021-04-19,62
2021-04-20,64
2021-04-21,39
2021-04-22,308
2021-04-23,651
2021-04-24,767
2021-04-25,600
2021-04-26,203
2021-04-27,165
2021-04-28,115
2021-04-29,102
2021-04-30,82
2021-05-01,81
2021-05-02,61
2021-05-03,57
2021-05-04,86
2021-05-05,104
2021-05-06,83
2021-05-07,69
2021-05-08,66
2021-05-09,40
2021-05-10,61
2021-05-11,45
2021-05-12,67
2021-05-13,40
2021-05-14,35
2021-05-15,60
2021-05-16,59
2021-05-17,46
2021-05-18,45
2021-05-19,47
2021-05-20,56
2021-05-21,30
2021-05-22,49
2021-05-23,36
2021-05-24,40
2021-05-25,122
2021-05-26,74
2021-05-27,54
2021-05-28,38
2021-05-29,59
2021-05-30,42
2021-05-31,32
